KEY,English,Japanese
Flag,Flag-US,Flag-JP
Sound,Sound,Son
PolicyPage,Privacy Policy,個人情報のお取り扱い
TokushoPage,About Japanese Row,特別商取引法に基づく表示
SupportMail,Support Mail,ご購入に関するお問い合わせ
DescTweet,Tweet now to get,[3回目は2枚！]アプリからツイートで　
TittleTweet,1 Play Ticket,チケット1枚プレゼント
TextNo,×,×
TextYes,●,●
TextReview,Review Now,レビューする
SelectedFlag,Flag,選択
Tittle5Tickets,5 Play Ticket,チケット 5枚
Desc3Times,Limited Offer,3回目は2枚!
DescMuseigen,Unlimited Play + AD,プレイ無制限 + 広告オフの買い切りパック
Monthly,/ Monthly ,/ 1ヶ月
TittleMuseigen,Unlimited Play Pack,無制限プレイパック
TittleNinki,BEST ,人気No1
ZeroPrice,$ 0 ,¥ 0
PUStartGame,Consumes one ticket to play.\n\nAre you ready?,チケットを１枚消費してプレイを開始します。\n\nよろしいですか？
Feedback,Feedback and support ,ゲームの不具合報告・ご意見など
TwitterFollow,Follow us on Twitter ,Twitterでフォロー
RankKill,Total Kills,TOTALキル数
RankTop,Total Winning,1位回数
RankAvr,Average Rank,平均順位
PrevMonth,Previous month,先月の最終ランク
ServerSelect,Connect Server,接続サーバー
TittleReview,If you enjoy this game.\n\nPlease review on store page. ,ゲームを気に入ってくれたら、ストアでアプリのレビューをお願いします！\n\n不具合報告などのサポートはお問い合わせまで
RestorePurchase,Restore Purchase,ご購入情報の復元
TittleTweetCampaign,Tweet to get tickets,Tweetキャンペーン実施中
TittleTweetCampaign2,Special Offer,公開記念
DescTweetCampaign,Tweet from app and get one more play.\nTap + button to get more infos.,アプリからツイートすると、プレイチケットを１枚プレゼント！\nさらに、１日３回目のツイートは２枚もらえる。
